F1,F2,F3,F4,F5,X,Y,Z,Gesture
826.0,809.0,0.0,781.0,879.0,1.15,9.63,2.9,invalid
826.0,809.0,0.0,781.0,879.0,0.92,9.56,2.49,invalid
826.0,809.0,0.0,781.0,879.0,0.87,9.78,2.56,invalid
826.0,809.0,0.0,781.0,879.0,1.15,9.63,2.9,invalid
825.0,809.0,0.0,780.0,878.0,1.09,9.43,2.83,invalid
825.0,809.0,0.0,780.0,878.0,0.61,9.4,3.26,invalid
825.0,809.0,0.0,780.0,878.0,0.95,9.93,3.06,invalid
825.0,809.0,0.0,780.0,877.0,0.84,9.59,3.11,invalid
825.0,809.0,0.0,780.0,878.0,0.85,9.47,3.28,invalid
825.0,809.0,0.0,780.0,878.0,0.73,9.66,3.33,invalid
824.0,809.0,0.0,780.0,877.0,0.7,9.53,3.39,invalid
824.0,809.0,0.0,779.0,877.0,0.91,9.53,3.37,invalid
824.0,809.0,0.0,780.0,877.0,0.85,9.53,3.3,invalid
824.0,809.0,0.0,779.0,877.0,0.85,9.53,3.32,invalid
824.0,809.0,0.0,780.0,877.0,0.93,9.26,3.55,invalid
824.0,809.0,0.0,779.0,877.0,0.81,9.53,3.32,invalid
824.0,810.0,0.0,779.0,877.0,0.94,9.55,3.33,invalid
824.0,810.0,0.0,779.0,876.0,0.99,9.67,3.07,invalid
824.0,809.0,0.0,779.0,875.0,0.34,9.45,3.57,invalid
824.0,809.0,0.0,779.0,875.0,1.01,9.47,3.43,invalid
823.0,819.0,0.0,799.0,877.0,1.2,9.21,3.6,invalid
823.0,820.0,0.0,799.0,878.0,1.75,9.62,2.63,invalid
823.0,819.0,0.0,799.0,877.0,1.65,9.39,2.98,invalid
823.0,819.0,0.0,799.0,877.0,1.2,9.21,3.6,invalid
822.0,818.0,0.0,800.0,877.0,0.62,8.84,4.08,invalid
822.0,818.0,0.0,800.0,876.0,0.91,9.49,4.11,invalid
821.0,818.0,0.0,799.0,876.0,0.96,9.57,3.66,invalid
821.0,817.0,0.0,799.0,876.0,0.4,9.34,3.95,invalid
821.0,817.0,0.0,799.0,876.0,0.53,9.4,4.18,invalid
821.0,817.0,0.0,799.0,875.0,0.59,9.31,3.96,invalid
821.0,817.0,0.0,799.0,875.0,0.69,9.26,4.11,invalid
821.0,816.0,0.0,799.0,876.0,0.5,9.39,4.03,invalid
821.0,816.0,0.0,799.0,876.0,0.55,9.33,4.12,invalid
821.0,816.0,0.0,799.0,876.0,0.44,9.39,4.18,invalid
821.0,816.0,0.0,799.0,876.0,0.5,9.2,4.32,invalid
821.0,816.0,0.0,799.0,877.0,0.48,9.25,4.3,invalid
821.0,816.0,0.0,799.0,876.0,0.42,9.29,4.12,invalid
821.0,816.0,0.0,799.0,877.0,0.3,9.28,4.26,invalid
821.0,815.0,0.0,798.0,876.0,0.42,9.2,4.37,invalid
821.0,815.0,0.0,798.0,877.0,0.47,9.29,4.38,invalid
819.0,822.0,0.0,796.0,875.0,1.1,8.92,-0.31,invalid
820.0,821.0,0.0,796.0,875.0,1.5,9.02,3.98,invalid
821.0,819.0,0.0,796.0,875.0,1.23,9.39,4.21,invalid
821.0,819.0,0.0,796.0,875.0,1.33,9.29,5.36,invalid
821.0,818.0,0.0,796.0,875.0,1.92,8.92,5.22,invalid
821.0,819.0,0.0,796.0,875.0,1.45,8.92,5.33,invalid
821.0,818.0,0.0,796.0,875.0,0.89,9.05,5.0,invalid
822.0,818.0,0.0,796.0,875.0,1.62,9.16,5.05,invalid
821.0,817.0,0.0,796.0,875.0,1.34,8.72,4.78,invalid
821.0,817.0,0.0,796.0,875.0,1.52,9.05,4.86,invalid
821.0,818.0,0.0,796.0,875.0,1.33,9.19,4.83,invalid
822.0,818.0,0.0,796.0,875.0,1.51,9.07,4.85,invalid
823.0,817.0,0.0,796.0,875.0,1.41,8.81,5.16,invalid
823.0,817.0,0.0,796.0,875.0,1.53,8.9,5.09,invalid
823.0,817.0,0.0,796.0,875.0,1.63,8.8,5.25,invalid
823.0,817.0,0.0,796.0,875.0,1.52,8.71,5.24,invalid
823.0,817.0,0.0,796.0,875.0,1.49,8.84,5.16,invalid
823.0,817.0,0.0,796.0,875.0,1.44,8.96,5.1,invalid
823.0,817.0,0.0,796.0,875.0,1.58,8.81,5.22,invalid
823.0,817.0,0.0,796.0,875.0,1.55,8.8,5.17,invalid
842.0,831.0,0.0,809.0,877.0,-2.06,7.01,-4.76,invalid
836.0,831.0,0.0,811.0,878.0,-2.58,9.6,-6.32,invalid
836.0,831.0,0.0,811.0,878.0,0.63,8.85,2.51,invalid
836.0,830.0,0.0,811.0,879.0,0.79,9.08,4.87,invalid
835.0,830.0,0.0,811.0,879.0,0.68,9.05,4.92,invalid
835.0,829.0,0.0,811.0,879.0,0.75,8.89,4.99,invalid
834.0,829.0,0.0,810.0,879.0,0.67,8.9,5.02,invalid
834.0,829.0,0.0,810.0,879.0,0.68,9.06,4.93,invalid
834.0,829.0,0.0,810.0,879.0,0.33,8.99,4.93,invalid
834.0,829.0,0.0,810.0,879.0,0.79,9.19,4.94,invalid
834.0,829.0,0.0,810.0,879.0,0.57,9.05,4.93,invalid
834.0,829.0,0.0,810.0,879.0,0.72,8.7,5.19,invalid
834.0,828.0,0.0,810.0,879.0,0.69,8.94,5.07,invalid
836.0,828.0,0.0,810.0,878.0,0.66,8.99,5.16,invalid
837.0,828.0,0.0,810.0,878.0,0.51,8.87,5.22,invalid
836.0,828.0,0.0,810.0,879.0,0.77,8.81,5.51,invalid
836.0,828.0,0.0,809.0,879.0,0.67,8.88,5.47,invalid
836.0,828.0,0.0,810.0,879.0,0.84,8.89,5.51,invalid
836.0,828.0,0.0,809.0,878.0,0.71,8.78,5.56,invalid
836.0,828.0,0.0,810.0,879.0,0.74,8.92,5.44,invalid
834.0,826.0,0.0,807.0,875.0,1.18,8.39,5.49,invalid
834.0,826.0,0.0,805.0,875.0,1.13,8.23,6.15,invalid
833.0,826.0,0.0,805.0,875.0,1.15,8.47,6.1,invalid
833.0,826.0,0.0,805.0,875.0,1.16,8.47,6.08,invalid
833.0,826.0,0.0,805.0,875.0,1.22,8.44,6.05,invalid
833.0,826.0,0.0,805.0,875.0,1.12,8.46,6.06,invalid
832.0,826.0,0.0,805.0,875.0,1.17,8.5,6.02,invalid
831.0,826.0,0.0,805.0,875.0,1.13,8.34,6.08,invalid
832.0,826.0,0.0,805.0,875.0,1.15,8.6,6.02,invalid
831.0,826.0,0.0,804.0,875.0,1.06,8.49,6.06,invalid
832.0,826.0,0.0,805.0,875.0,1.03,8.52,6.08,invalid
832.0,826.0,0.0,805.0,875.0,1.05,8.49,6.1,invalid
832.0,826.0,0.0,805.0,875.0,1.32,8.28,5.96,invalid
833.0,826.0,0.0,805.0,873.0,1.49,8.54,5.76,invalid
832.0,826.0,0.0,804.0,874.0,0.23,8.36,6.28,invalid
833.0,826.0,0.0,805.0,874.0,1.2,8.46,6.02,invalid
833.0,826.0,0.0,805.0,873.0,1.52,8.47,5.94,invalid
831.0,825.0,0.0,805.0,873.0,0.13,8.4,6.28,invalid
832.0,825.0,0.0,805.0,873.0,1.36,8.46,5.9,invalid
832.0,825.0,0.0,806.0,873.0,1.5,8.56,5.81,invalid
826.0,822.0,0.0,793.0,875.0,0.37,8.53,4.94,invalid
827.0,822.0,0.0,793.0,875.0,0.93,8.65,5.37,invalid
826.0,822.0,0.0,793.0,874.0,1.12,9.11,4.71,invalid
826.0,822.0,0.0,793.0,875.0,-0.14,8.83,5.51,invalid
826.0,822.0,0.0,793.0,874.0,0.74,8.96,5.13,invalid
826.0,821.0,0.0,793.0,874.0,0.56,9.03,5.02,invalid
828.0,821.0,0.0,793.0,874.0,0.13,8.98,5.26,invalid
827.0,821.0,0.0,793.0,875.0,0.9,9.06,4.98,invalid
826.0,821.0,0.0,793.0,874.0,0.57,9.02,4.92,invalid
825.0,821.0,0.0,793.0,874.0,0.6,8.84,5.14,invalid
826.0,821.0,0.0,793.0,874.0,0.95,9.07,4.8,invalid
826.0,821.0,0.0,793.0,874.0,0.63,8.95,5.03,invalid
825.0,821.0,0.0,793.0,873.0,0.64,8.89,5.13,invalid
825.0,821.0,0.0,794.0,874.0,0.77,8.91,5.09,invalid
825.0,821.0,0.0,794.0,874.0,0.12,8.94,5.25,invalid
826.0,822.0,0.0,794.0,874.0,0.68,8.95,5.15,invalid
825.0,821.0,0.0,794.0,874.0,0.49,8.94,5.22,invalid
825.0,821.0,0.0,793.0,874.0,0.13,9.0,5.23,invalid
825.0,821.0,0.0,794.0,874.0,0.72,8.95,5.05,invalid
825.0,821.0,0.0,794.0,874.0,0.29,8.94,5.19,invalid
